"CU_ID","Species","Stock","DataType","Year","SpnForAbd_Wild","SpnForTrend_Wild","RelLBM","AbsLBM","LongTrend","PercChange","ProbDeclBelowLBM","Percentile","RelUBM","AbsUBM","NumStdMetrics","Value","IntStatusRaw","IntStatusRaw_Short","IntStatus_Short","RapidStatus","BinLabel","BinPath","RapidScore","RelLBMCat","AbsLBMCat","LongTrendCat","PercChangeCat","ProbDeclBelowLBMCat","PercentileCat","RelUBMCat","AbsUBMCat","RelAbdCat","AbsAbdCat","RelAbd_LBM","RelAbd_UBM","SpnForAbd_Total","SpnForTrend_Total","ConfidenceRating5","ConfidenceRating3","ConfidenceRating2","IntStatus5","IntStatus3","IntStatus2"
"Case3","Chinook","CU3_Chinook","Rel_Idx",1997,36529,36529,NA,NA,172,88.5835,7.2333,NA,NA,NA,2,14481.2101107861,NA,NA,NA,"Amber","Node65","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend < 233",3,NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,21244,48317,35733,35733,"Low","Low","Moderate",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",1998,66816,66816,NA,NA,313,258.4699,2.8,NA,NA,NA,2,28773.0964915603,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,21244,48317,66796,66796,"Low","Low","High",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",1999,19015,19015,NA,NA,375,295.409,2.0333,NA,NA,NA,2,35504.2827324722,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,21244,48317,19095,19095,"Low","Low","High",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2000,16961,16961,NA,NA,307,369.933,0.9333,NA,NA,NA,2,29786.2966172216,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,21244,48317,16296,16296,"Low","Low","High",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2001,42619,42619,NA,NA,302,608.2576,0.1333,NA,NA,NA,2,30956.9294886688,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,21244,48317,42641,42641,"Low","Low","High",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2002,54230,54230,NA,NA,271,598.0757,0.0333,NA,NA,NA,2,29383.103230796,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,21244,48317,53525,53525,"Low","Low","High",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2003,47645,47645,NA,NA,323,592.2852,0.2,NA,NA,NA,2,36968.1664811726,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,21244,48317,46274,46274,"Low","Low","High",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2004,41221,41221,NA,NA,387,596.5482,0.2,NA,NA,NA,2,46157.7551013268,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,21244,48317,39617,39617,"Low","Low","High",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2005,79712,79712,NA,NA,426,566.4867,0.2333,NA,NA,NA,2,53978.9945996023,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,21244,48317,81904,81904,"Low","Low","High",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2006,123977,123977,NA,NA,487,380.1115,0.3,NA,NA,NA,2,66374.3331569111,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,21244,48317,126573,126573,"Low","Low","High",NA,NA,NA
"Case3","Chinook","CU3_Chinook","Rel_Idx",2007,60267,60267,NA,NA,494,169.4092,0.5667,NA,NA,NA,2,70390.7725100903,NA,NA,NA,"Green","Node64"," AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend >= 233",1,NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,21244,48317,59681,59681,"Low","Low","High",NA,NA,NA
